,TQQQ,TMF,UCO,YINN,GUSH,AGQ
09:30:05,36.25,13.859999656677246,154.63999938964844,3.9649999141693115,154.5,30.510000228881836
09:30:10,36.529998779296875,13.850000381469727,154.63999938964844,3.984999895095825,154.22000122070312,30.440000534057617
09:30:15,36.47999954223633,13.8100004196167,154.42999267578125,3.9700000286102295,154.85000610351562,30.431699752807617
09:30:20,36.648799896240234,13.819999694824219,154.39500427246094,3.970099925994873,154.9250030517578,30.450000762939453
09:30:25,36.470001220703125,13.829999923706055,154.27999877929688,3.9600000381469727,154.89999389648438,30.450000762939453
09:30:30,36.54999923706055,13.824999809265137,154.02000427246094,3.9400999546051025,154.00999450683594,30.350000381469727
09:30:35,36.4468994140625,13.859999656677246,154.04010009765625,3.930500030517578,154.58999633789062,30.379600524902344
09:30:40,36.400001525878906,13.859999656677246,154.04010009765625,3.930000066757202,154.57000732421875,30.31999969482422
09:30:45,36.54999923706055,13.850000381469727,154.63999938964844,3.950000047683716,154.41000366210938,30.329999923706055
09:30:50,36.439998626708984,13.869999885559082,154.11000061035156,3.940000057220459,154.27000427246094,30.329999923706055
09:30:55,36.459999084472656,13.869999885559082,154.10000610351562,3.940000057220459,154.13270568847656,30.309999465942383
09:31:00,36.619998931884766,13.854999542236328,154.26190185546875,3.940000057220459,154.44000244140625,30.301700592041016
09:31:05,36.599998474121094,13.850000381469727,154.1199951171875,3.930000066757202,154.0,30.25
09:31:10,36.540000915527344,13.850000381469727,154.00770568847656,3.9100000858306885,154.0399932861328,30.264999389648438
09:31:15,36.525001525878906,13.84000015258789,154.08999633789062,3.9100000858306885,154.13999938964844,30.239900588989258
09:31:20,36.439998626708984,13.850000381469727,154.0399932861328,3.9000000953674316,154.4949951171875,30.209999084472656
09:31:25,36.38999938964844,13.854999542236328,153.9499969482422,3.9000000953674316,154.67999267578125,30.21500015258789
09:31:30,36.34000015258789,13.850000381469727,153.8800048828125,3.9000000953674316,154.3800048828125,30.248699188232422
09:31:35,36.435001373291016,13.850000381469727,153.92999267578125,3.9100000858306885,154.1999969482422,30.278600692749023
09:31:40,36.34880065917969,13.850000381469727,154.0,3.890000104904175,154.76840209960938,30.270000457763672
09:31:45,36.404998779296875,13.854999542236328,153.89999389648438,3.9000000953674316,154.63999938964844,30.25
09:31:50,36.39870071411133,13.850000381469727,154.0,3.880000114440918,154.99989318847656,30.219999313354492
09:31:55,36.400001525878906,13.850000381469727,153.9600067138672,3.880000114440918,155.23500061035156,30.239999771118164
09:32:00,36.40999984741211,13.84000015258789,153.77000427246094,3.8701000213623047,155.3350067138672,30.2450008392334
09:32:05,36.30009841918945,13.859999656677246,153.87399291992188,3.859999895095825,155.96080017089844,30.229999542236328
09:32:10,36.220001220703125,13.859999656677246,153.87399291992188,3.871999979019165,156.27000427246094,30.239999771118164
09:32:15,36.34989929199219,13.859999656677246,153.86000061035156,3.869999885559082,156.43499755859375,30.200000762939453
09:32:20,36.31869888305664,13.869999885559082,153.86000061035156,3.880000114440918,156.41000366210938,30.15999984741211
09:32:25,36.30500030517578,13.869999885559082,153.75210571289062,3.890000104904175,156.2899932861328,30.170000076293945
09:32:30,36.36000061035156,13.869999885559082,153.91000366210938,3.9000000953674316,156.67999267578125,30.190000534057617
09:32:35,36.33000183105469,13.859999656677246,153.94000244140625,3.9000000953674316,156.77679443359375,30.200000762939453
09:32:40,36.38999938964844,13.845000267028809,153.94679260253906,3.9100000858306885,156.77000427246094,30.15999984741211
09:32:45,36.40999984741211,13.850000381469727,154.03990173339844,3.9000000953674316,155.88999938964844,30.169599533081055
09:32:50,36.41999816894531,13.854999542236328,154.03990173339844,3.899899959564209,156.0050048828125,30.152999877929688
09:32:55,36.56999969482422,13.850000381469727,154.03990173339844,3.9017999172210693,156.22999572753906,30.200000762939453
09:33:00,36.54880142211914,13.850899696350098,154.0,3.9100000858306885,155.89999389648438,30.18000030517578
09:33:05,36.59000015258789,13.859999656677246,153.94000244140625,3.9000000953674316,155.783203125,30.190000534057617
09:33:10,36.5099983215332,13.859999656677246,153.57000732421875,3.9200000762939453,155.26980590820312,30.17009925842285
09:33:15,36.529998779296875,13.859999656677246,153.77430725097656,3.930000066757202,154.8800048828125,30.19529914855957
09:33:20,36.58620071411133,13.864999771118164,153.72689819335938,3.940000057220459,154.97500610351562,30.180099487304688
09:33:25,36.540000915527344,13.859999656677246,153.68499755859375,3.940000057220459,155.77099609375,30.180099487304688
09:33:30,36.439998626708984,13.854999542236328,153.72000122070312,3.950000047683716,156.25,30.15999984741211
